Listing Position,Title,Brand,MRP,Price,Average Rating Score,Count of Ratings,Count of Reviews,Product URL,Image_url
178,SONY Bravia 2 109 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Audio( 2024 Model),Sony,59990.0,41790.0,0.0,0,0,https://www.croma.com/sony-bravia-2-109-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-audio-2024-model-/p/307918,https://media.croma.com/image/upload/v1719554810/Croma%20Assets/Entertainment/Television/Images/307918_eq3ffq.png
179,SAMSUNG Crystal 4K Vivid 127 cm (50 inch) 4K Ultra HD LED Tizen TV with Crystal Processor 4K,Samsung,61900.0,38499.0,0.0,0,0,https://www.croma.com/samsung-crystal-4k-vivid-127-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-crystal-processor-4k/p/306174,https://media.croma.com/image/upload/v1722286062/Croma%20Assets/Entertainment/Television/Images/306174_0_cqnyih.png
180,Xiaomi X Series 138 cm (55 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Audio (2023 model),Xiaomi,54999.0,32999.0,5.0,2,1,https://www.croma.com/xiaomi-x-series-138-cm-55-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-audio-2023-model-/p/302087,https://media.croma.com/image/upload/v1722273576/Croma%20Assets/Entertainment/Television/Images/302087_0_edjr8j.png
181,Xiaomi X Series 126 cm (50 inch) 4K Ultra HD LED Google TV with Dolby Vision & Dolby Atmos ,Xiaomi,44999.0,29990.0,5.0,1,0,https://www.croma.com/xiaomi-x-series-126-cm-50-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-dolby-atmos-/p/302528,https://media.croma.com/image/upload/v1722282837/Croma%20Assets/Entertainment/Television/Images/302528_0_dox2u6.png
182,TCL P71B Pro 139 cm (55 inch) 4K Ultra HD QLED Google TV with Dolby Vision & Dolby Atmos( 2024 Model),Tcl,79990.0,33990.0,0.0,0,0,https://www.croma.com/tcl-p71b-pro-139-cm-55-inch-4k-ultra-hd-qled-google-tv-with-dolby-vision-dolby-atmos-2024-model-/p/307877,https://media.croma.com/image/upload/v1719551553/Croma%20Assets/Entertainment/Television/Images/307877_chcgol.png
183,BLAUPUNKT CyberSound G2 Series 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Digital Plus (2023 model),Blaupunkt,29999.0,15499.0,5.0,7,5,https://www.croma.com/blaupunkt-cybersound-g2-series-100-cm-40-inch-full-hd-led-smart-android-tv-with-dolby-digital-plus-2023-model-/p/303330,https://media.croma.com/image/upload/v1722278048/Croma%20Assets/Entertainment/Television/Images/303330_0_peodxp.png
184,TCL 75P635 Pro 189 cm (75 inch) 4K Ultra HD LED Google TV with Bezel Less Display (2023 model),Tcl,256990.0,99999.0,0.0,0,0,https://www.croma.com/tcl-75p635-pro-189-cm-75-inch-4k-ultra-hd-led-google-tv-with-bezel-less-display-2023-model-/p/272265,https://media.croma.com/image/upload/v1722275015/Croma%20Assets/Entertainment/Television/Images/272265_0_ziczzg.png
185,TCL V6B 164 cm (65 inch) 4K Ultra HD LED Google TV with Dolby Audio( 2024 Model),Tcl,124990.0,46990.0,0.0,0,0,https://www.croma.com/tcl-v6b-164-cm-65-inch-4k-ultra-hd-led-google-tv-with-dolby-audio-2024-model-/p/308009,https://media.croma.com/image/upload/v1719767453/Croma%20Assets/Entertainment/Television/Images/308009_isanoq.png
186,Foxsky 140 cm (55 inch) 4K Ultra HD LED Smart Android TV with Google Assistant (2021 model),Foxsky,97990.0,97990.0,4.3333333333,3,3,https://www.croma.com/foxsky-140-cm-55-inch-4k-ultra-hd-led-smart-android-tv-with-google-assistant-2021-model-/p/258797,https://media.croma.com/image/upload/v1722286167/Croma%20Assets/Entertainment/Television/Images/258797_0_wr5j4d.png
187,TCL C Series 189 cm (75 inch) QLED 4K Ultra HD Google TV with Dolby Vision (2024 model),Tcl,299990.0,89990.0,0.0,0,0,https://www.croma.com/tcl-c-series-189-cm-75-inch-qled-4k-ultra-hd-google-tv-with-dolby-vision-2024-model-/p/306637,https://media.croma.com/image/upload/v1716558006/Croma%20Assets/Entertainment/Television/Images/306637_pxsgod.png
188,SAMSUNG CUE60 124 cm (50 inch) 4K Ultra HD LED Tizen TV with Crystal Processor 4K (2023 model),Samsung,61900.0,37990.0,3.0,3,1,https://www.croma.com/samsung-cue60-124-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-crystal-processor-4k-2023-model-/p/273686,https://media.croma.com/image/upload/v1722272944/Croma%20Assets/Entertainment/Television/Images/273686_0_kqivz4.png
